TITULO EVENTO;FECHA;LUGAR;URL EVENTO;FUENTE
EFECTO MARIPOSA 219.000 HORAS DE VUELO;22/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=efecto-mariposa-219-000-horas-de-vuelo;https://www.movistararena.es/calendario
PABLO ALBORÁN GLOBAL TOUR KM0;22/05/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=pablo-albor-n-global-tour-km0;https://www.movistararena.es/calendario
ORCAM. Tiempo de Cámara 4. Himnos de Coronación;22/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/concierto-orcam-tiempo-de-camara-4-himnos-de-coronacion;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Sinfónico 21;22/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-21-4;https://auditorionacional.inaem.gob.es/es/programacion
NIÑOS DEL CAMINITO + JAVI BAMBINI;23/05/2026;Sala But;https://ochoymedioclub.com/conciertos/cero-segunda-fecha/?srsltid=AfmBOorz72PJ69j6f8Jl23SHTKCd2XKDyQx2ezRqhs3KGcwgrWkNRL_T;https://www.salabut.es/agenda-conciertos/
JAVIER SOLO Y LA BANDA DEL VECINO;23/05/2026;Sala El Sol;https://salaelsol.com/eventos/javier-solo-y-la-banda-del-vecino/;https://salaelsol.com/agenda/
BARIRI [Sound Isidro];23/05/2026;Sala El Sol;https://salaelsol.com/eventos/bariri-sound-isidro/;https://salaelsol.com/agenda/
Dogfight Wild Tournament 4: Tokyo Blood;23/05/2026;Arena;https://www.palaciovistalegre.com/event/dogfight-wild-tournament-4-tokyo-blood/;https://www.palaciovistalegre.com/events/
Patricia Galván - Hardcore;23/05/2026;Teatro Fígaro;https://gruposmedia.com/cartelera/patricia-galvan-hardcore/;https://gruposmedia.com/teatro-figaro/
Perdido en los 80;23/05/2026;Teatro Real Carlos III de Aranjuez;https://teatroaranjuez.es/cartelera/perdido-en-los-80/;https://teatroaranjuez.es/cartelera/
La Pegatina;23/05/2026;Sala La Riviera;https://feverup.com/m/476489?utm_source=affiliate&utm_medium=impact&utm_campaign=476483&utm_content=379560_Bandsintown+concerts&irclickid=Qy5Vd%3Ax5vxyKTiiV3oTsV0bTUkpXl7TxEx8ZRo0&irgwc=1&afsrc=1;https://salariviera.com/conciertossalariviera/
REYES DEL PALIQUE XXL;23/05/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=reyes-del-palique-xxl;https://www.movistararena.es/calendario
ASDLÁNTICOS 20 AÑOS FATAL DE LOS NERVIOS;23/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=asdlanticos-20-anos-fatal-de-los-nervios;https://www.movistararena.es/calendario
CNDM. Aurel Dawidiuk;23/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/cndm-aurel-dawidiuk;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Sinfónico 21;23/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-21-4;https://auditorionacional.inaem.gob.es/es/programacion
UAM. Palabras de Amor y Desamor. Boleros y Baladas.;23/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/uam-palabras-de-amor-y-desamor-boleros-y-baladas;https://auditorionacional.inaem.gob.es/es/programacion
Chris Grey;24/05/2026;Teatro Eslava;https://teatroeslava.com/conciertos/chris-grey/;https://teatroeslava.com/conciertos-madrid/
JAULA DE GRILLOS;24/05/2026;Sala El Sol;https://salaelsol.com/eventos/jaula-de-grillos/;https://salaelsol.com/agenda/
Guacamayo presenta: Baile Mad – Eletrofunk! + Vinil Vibes;24/05/2026;Sala El Sol;https://salaelsol.com/eventos/guacamayo-presenta-baile-mad-eletrofunk-vinil-vibes/;https://salaelsol.com/agenda/
Madison Beer – The Locked Tour;24/05/2026;Arena;https://www.palaciovistalegre.com/event/madison-beer-the-locked-tour/;https://www.palaciovistalegre.com/events/
El Mago de Oz, el musical;24/05/2026;Teatro Maravillas;https://gruposmedia.com/cartelera/el-mago-de-oz-el-musical/;https://gruposmedia.com/teatro-maravillas/
La magia de Jandro;24/05/2026;Teatro Real Carlos III de Aranjuez;https://teatroaranjuez.es/cartelera/la-magia-de-jandro/;https://teatroaranjuez.es/cartelera/
EXPOSICIÓN ‘PULGAR’ de Mónica Mays;24/05/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/exposicion-pulgar-de-monica-mays;https://www.mataderomadrid.org/programacion
BREVE HISTORIA DEL BLOCKBUSTER;24/05/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/breve-historia-del-blockbuster;https://www.mataderomadrid.org/programacion
Iñigo Quintero;24/05/2026;Sala La Riviera;https://www.entradas.com/artist/inigo-quintero/?Affiliate=RIV;https://salariviera.com/conciertossalariviera/
The Jazz Room: Tributo al Blues;24/05/2026;Café Berlín;https://berlincafe.es/programa/the-jazz-room-tributo-al-blues-10/;https://berlincafe.es/programas/
OCNE. Sinfónico 21;24/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-21-4;https://auditorionacional.inaem.gob.es/es/programacion
Mercados en Crescendo. Orquesta Camerata Musicalis. Chaikovski – Souvenir de Florencia;24/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/mercados-en-crescendo-orquesta-camerata-musicalis-chaikovski-2013-souvenir-de-florencia;https://auditorionacional.inaem.gob.es/es/programacion
ATAQUE ESCAMPE + FAMILIA CAAMAGNO;25/05/2026;Sala El Sol;https://salaelsol.com/eventos/ataque-escampe-familia-caamagno/;https://salaelsol.com/agenda/
PAPAWANDA + SOUND OF COLORS;25/05/2026;Sala El Sol;https://salaelsol.com/eventos/papawanda-sound-of-colors/;https://salaelsol.com/agenda/
Trio Sin Tiempo. Leo Genovese – Mariano Otero – Sergio Verdinelli;25/05/2026;Café Berlín;https://berlincafe.es/programa/trio-sin-tiempo-leo-genovese-mariano-otero-sergio-verdinelli/;https://berlincafe.es/programas/
Ibermúsica. Budapest Festival Orchestra;25/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ibermusica-budapest-festival-orchestra-2;https://auditorionacional.inaem.gob.es/es/programacion
Lany;26/05/2026;Sala La Riviera;https://www.ticketmaster.es/artist/lany-entradas/959258;https://salariviera.com/conciertossalariviera/
ORCAM. Sinfónico 8. Alegres Travesuras;26/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/orcam-sinfonico-8-alegres-travesuras;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Satélite 21. Un Oiseau du Paradis: Poesía Francesa y Música de Cámara del s. XX;26/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/ocne-satelite-21-un-oiseau-du-paradis-poesia-francesa-y-musica-de-camara-del-s-xx;https://auditorionacional.inaem.gob.es/es/programacion
